,Date,Open,High,Low,Close,Adj Close,Volume
2022-06-24,2022-06-24,60.689999,61.099998,54.699001,55.049999,55.049999,790800
2022-06-27,2022-06-27,53.369999,56.5,52.779999,55.939999,55.939999,479200
2022-06-28,2022-06-28,55.080002,61.876999,53.869999,61.709999,61.709999,846200
2022-06-29,2022-06-29,62.32,64.639999,60.34,62.389999,62.389999,648900
2022-06-30,2022-06-30,64.540001,69.169998,62.82,65.209999,65.209999,1097200
2022-07-01,2022-07-01,65.910004,68.098999,63.889999,64.220001,64.220001,660800
2022-07-05,2022-07-05,66.410004,68.559998,58.110001,58.290001,58.290001,787800
2022-07-06,2022-07-06,58.790001,61.529999,56.880001,58.259998,58.259998,428600
2022-07-07,2022-07-07,57.279999,57.400002,52.5,53.0,53.0,697000
2022-07-08,2022-07-08,55.299999,55.5,51.669998,53.639999,53.639999,686600
2022-07-11,2022-07-11,56.040001,60.939999,56.040001,60.73,60.73,781400
2022-07-12,2022-07-12,59.490002,63.540001,58.630001,62.360001,62.360001,689700
2022-07-13,2022-07-13,66.68,67.010002,60.490002,61.560001,61.560001,830500
2022-07-14,2022-07-14,63.549999,66.510002,62.740002,63.849998,63.849998,673600
2022-07-15,2022-07-15,61.98,64.150002,59.860001,60.189999,60.189999,338700
2022-07-18,2022-07-18,56.700001,60.400002,54.202999,59.709999,59.709999,662800
